tema,artista,album,albumId,cover
How Deep Is Your Love,Bee Gees,Greatest,1445664302,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/b4/00/8f/b4008f7c-72b9-d856-60fa-2ac5cfce2d18/16UMGIM86640.rgb.jpg/300x300bb.jpg
More Than a Woman,Bee Gees,Saturday Night Fever (The Original Movie Soundtrack),1442259177,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/45/db/1d/45db1dac-fe00-3681-b216-266deea6e4cc/17UM1IM26789.rgb.jpg/300x300bb.jpg
Stayin' Alive,Bee Gees,The Ultimate Bee Gees,1445668810,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/94/a7/5f/94a75fd1-17da-3a38-42dc-c5e35bf56046/16UMGIM86639.rgb.jpg/300x300bb.jpg
Crazy in Love,Beyoncé,Party On!,262218429,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/17/5d/37/175d3726-19c6-7d9a-2977-facb590b3656/888880063199.jpg/300x300bb.jpg
(I've Had) The Time of My Life,Bill Medley & Jennifer Warnes,Dirty Dancing (Original Motion Picture Soundtrack),254938499,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/8c/f2/1f/8cf21f62-eed1-64c0-e710-df52dc3556c3/078635640823.jpg/300x300bb.jpg
Ain't No Sunshine,Bill Withers,Sad Bops,1616315672,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/3a/b6/50/3ab650c8-ff6f-af96-dc07-b24e5812366d/196589038913.jpg/300x300bb.jpg
All the Small Things,blink-182,Enema of the State,1444118632,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/d0/54/b8/d054b82b-981e-6834-6d47-09d00faad533/16UMGIM35659.rgb.jpg/300x300bb.jpg
Song 2,Blur,Birra Al Pub,1764544391,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/19/c2/31/19c2313f-9f18-a923-e10f-150c73f4f3ef/5059460328020.jpg/300x300bb.jpg
Could You Be Loved,Bob Marley,Gold: Bob Marley and the Wailers,1446928765,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/dd/47/b0/dd47b039-fc98-0e0b-bbfd-4071807372d9/06UMGIM11770.rgb.jpg/300x300bb.jpg
I Shot the Sheriff,Bob Marley,Reggae Parchado Para Relajarse,1801267511,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a0/8c/97/a08c9773-ee7f-5d27-af0a-a75aae58ee3c/25UMGIM43534.rgb.jpg/300x300bb.jpg
